design_point,iteration,LaunchRequestName,MissionLoadoutName,BeginLaunchWindow,EndLaunchWindow,AircraftTypeName,quantityLaunched,MinAircraft,proportionExecuted,SortieDurationInHoursDistribution
4,1,SortieRequest8,FighterLoad2,400000,410000,fighter,3,4,0.75,"triangle,3,4,5"
4,1,SortieRequest8,TankerLoad,400000,410000,tanker,2,4,0.5,"triangle,4,5,6"
4,1,SortieRequest9,BomberLoad,450000,460000,bomber,2,2,1.0,"triangle,6,8,12"
4,1,SortieRequest9,FighterLoad1,450000,460000,fighter,0,8,0.0,"triangle,5,6,8"
4,1,SortieRequest9,TankerLoad,450000,460000,tanker,4,6,0.6666666666666666,"triangle,4,5,6"
4,1,SortieRequest10,FighterLoad2,500000,510000,fighter,2,4,0.5,"triangle,3,4,5"
4,1,SortieRequest10,TankerLoad,500000,510000,tanker,4,4,1.0,"triangle,4,5,6"
4,1,SortieRequest11,BomberLoad,550000,560000,bomber,0,2,0.0,"triangle,6,8,12"
4,1,SortieRequest11,FighterLoad1,550000,560000,fighter,7,8,0.875,"triangle,5,6,8"
4,1,SortieRequest11,TankerLoad,550000,560000,tanker,2,6,0.3333333333333333,"triangle,4,5,6"
4,1,SortieRequest12,FighterLoad2,600000,610000,fighter,0,4,0.0,"triangle,3,4,5"
4,1,SortieRequest12,TankerLoad,600000,610000,tanker,0,4,0.0,"triangle,4,5,6"
4,1,SortieRequest13,BomberLoad,650000,660000,bomber,0,2,0.0,"triangle,6,8,12"
4,1,SortieRequest13,FighterLoad1,650000,660000,fighter,5,8,0.625,"triangle,5,6,8"
4,1,SortieRequest13,TankerLoad,650000,660000,tanker,0,6,0.0,"triangle,4,5,6"
4,1,SortieRequest14,FighterLoad2,700000,710000,fighter,4,4,1.0,"triangle,3,4,5"
4,1,SortieRequest14,TankerLoad,700000,710000,tanker,0,4,0.0,"triangle,4,5,6"
4,1,SortieRequest15,BomberLoad,750000,760000,bomber,2,2,1.0,"triangle,6,8,12"
4,1,SortieRequest15,FighterLoad1,750000,760000,fighter,8,8,1.0,"triangle,5,6,8"
4,1,SortieRequest15,TankerLoad,750000,760000,tanker,0,6,0.0,"triangle,4,5,6"
4,1,SortieRequest16,FighterLoad2,800000,810000,fighter,2,4,0.5,"triangle,3,4,5"
4,1,SortieRequest16,TankerLoad,800000,810000,tanker,0,4,0.0,"triangle,4,5,6"
4,1,SortieRequest17,BomberLoad,850000,860000,bomber,0,2,0.0,"triangle,6,8,12"
4,1,SortieRequest17,FighterLoad1,850000,860000,fighter,3,8,0.375,"triangle,5,6,8"
4,1,SortieRequest17,TankerLoad,850000,860000,tanker,0,6,0.0,"triangle,4,5,6"
4,2,SortieRequest1,BomberLoad,50000,60000,bomber,0,2,0.0,"triangle,6,8,12"
4,2,SortieRequest1,FighterLoad1,50000,60000,fighter,8,8,1.0,"triangle,5,6,8"
4,2,SortieRequest1,TankerLoad,50000,60000,tanker,6,6,1.0,"triangle,4,5,6"
4,2,SortieRequest2,FighterLoad2,100000,110000,fighter,0,4,0.0,"triangle,3,4,5"
4,2,SortieRequest2,TankerLoad,100000,110000,tanker,4,4,1.0,"triangle,4,5,6"
4,2,SortieRequest3,BomberLoad,150000,160000,bomber,2,2,1.0,"triangle,6,8,12"
